video_id,user_name,comment,n_likes,updated_at
kZaucITWv00,@Mexaxhingon,Vergüenza que sean corruptos.  Kalabozo merecen.  Como castigan a un partido y no a otro que comete fraude. Guadalupe T.  Debe de renunciar y todos los que la siguen,0,2024-05-11T13:34:54Z
kZaucITWv00,@mateocrisoforo3915,Jajaajaja...la dama de que contraofensiba hbla..,0,2024-05-10T05:58:11Z
kZaucITWv00,@NoraGamboaJarquin,"<a href=""http://www.youtube.com/results?search_query=%23claudiapresidenta"">#ClaudiaPresidenta</a> <br><a href=""http://www.youtube.com/results?search_query=%23sumaconclaudia"">#SumaConClaudia</a><br><a href=""http://www.youtube.com/results?search_query=%23ganandocomosiempre"">#GanandoComoSiempre</a><br><a href=""http://www.youtube.com/results?search_query=%23suma"">#SUMA</a><br><a href=""http://www.youtube.com/results?search_query=%23participemos"">#Participemos</a> todos comentando, darle like y publicando., recuerden : <a href=""http://www.youtube.com/results?search_query=%23suma"">#SUMA</a> Con Claudia. <br>Coordinadora de pueblos barrios y colonias de Azcapotzalco con LAURA ROMERO",1,2024-05-04T21:25:26Z
kZaucITWv00,@CnC9903,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=5599"">1:33:19</a>",0,2024-05-04T07:21:25Z
kZaucITWv00,@marialucianachuctun,Pos yo lo veo por tarea 😔😊,0,2024-05-04T00:54:10Z
kZaucITWv00,@CnC9903,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=4294"">1:11:34</a>",0,2024-05-03T08:07:29Z
kZaucITWv00,@damianescobar787,Me gusto el intro,0,2024-05-03T02:39:09Z
kZaucITWv00,@AnaPalomaLeónMonge,"Esos monos que pusieron de fondo, son demonios",0,2024-05-03T00:37:32Z
kZaucITWv00,@mgmotosmx01,POGGQUE hablancon la g 😂😂🤣🤣 Xóchitl,1,2024-05-01T05:17:48Z
kZaucITWv00,@carolinaramos4274,cortaron un pedazo?????????????????,0,2024-05-01T03:41:41Z
kZaucITWv00,@felipesuarez9981,Claudia no nos de fraudes y si ganas espero me mandes un saludo,0,2024-05-01T02:15:28Z
kZaucITWv00,@immer9442,"Ya no voy a estudiar más, no.sirve tener una carrera aqui en mexico, gano mas vendiendo tacos o manejando un uber.",0,2024-04-30T16:56:03Z
kZaucITWv00,@Mexaxhingon,Corrupto vergonsozo bueno para nada no son parejos vende patria traidores Rrattas no merecen ese puesto y si permitan usar la camara para que los prianistas agan trampa vendiendo el voto,0,2024-04-30T12:10:12Z
kZaucITWv00,@unknown9z,"<a href=""https://www.youtube.com/watch?v=kZaucITWv00&amp;t=1"">0:01</a> alguien sabe como se llama la musica",2,2024-04-29T04:16:19Z
kZaucITWv00,@lilbiaguadaluperiverazente4449,EDUCACION una mierda y no es pretexto la pandemia desde antes y ahora nefasta,0,2024-04-29T03:18:04Z
kZaucITWv00,@lilbiaguadaluperiverazente4449,Jajaja aja casa por casa,0,2024-04-29T03:16:50Z
kZaucITWv00,@seleneramirez9742,"Xochitl misoginia, a pero no le digas nada por qué va a llorar le a INE",0,2024-04-29T02:51:03Z
kZaucITWv00,@archiewebb8646,Ya esta nerviosa la dinosario😂😂😂,2,2024-04-29T02:13:19Z
kZaucITWv00,@archiewebb8646,Ya empezo a buscar sus papelitos la cochilt😂😂,2,2024-04-29T02:12:07Z
kZaucITWv00,@archiewebb8646,Ya empezo con la misma cantaleta nada de propuesta😂😂😂😂😂,2,2024-04-29T02:10:53Z
kZaucITWv00,@archiewebb8646,Empezamos a divertirnos con la ingeniega patito😂😂😂😂 circo maroma y teatro de la cochilt😂😂😂😂😂😂,2,2024-04-29T02:00:45Z
kZaucITWv00,@VirgilioVazquezdelrio,Ya se van los del PRIAN,1,2024-04-29T01:07:06Z
kZaucITWv00,@yamerosolitario2,"A mi querida esposa Alicia Velázquez Vargas, Fallecida <a href=""http://www.youtube.com/results?search_query=%23covidisntover"">#COVIDIsntOver</a> &quot;Fue atendida en @NegligenciaMédica (@Tu_ImSS, @ISSSTE_MX)&quot; INUTIL SOLICITAR SERVICIOS: SOLO SE TRAMITAN ENTIERROS FALLECIÓ EL DOMINGO 26 DE MARZO DE 2023 : USELESS PUBLIC HEALTH SERVICES<br>😮‍💨😮‍💨😮‍💨",0,2024-04-29T01:01:12Z
kZaucITWv00,@yamerosolitario2,"Maynes, palero de Claudia <a href=""http://www.youtube.com/results?search_query=%23crimesagainsthumanity"">#CrimesAgainstHumanity</a> <a href=""http://www.youtube.com/results?search_query=%23israeliterrorism"">#IsraeliTerrorism</a>",0,2024-04-29T00:53:21Z
kZaucITWv00,@airimcontreras9337,El INE IGUAL QUE GELATINAS SU CANDIDATA  LA GELATINAS LA BOTARGA XOCHIL GALVEZ CARLA HUMPRIIANNNNNNNN Y GUADALUPE TADEE VENDIDAS CORRUPTAS AL INE NO SE LE CREE ESTA A FAVOR DE XOCHIL GALVEZ SU CANDIDATA ELLOS TODOS SON DEL PAN PRI PRD TERMINANDO ELECCIONES EXIGIMOS LA RESTRUCTURACION DEL INE CORRUPTO VENDIDO Y TODO SU PERSONAL DEL LORENZO CORDOBA,1,2024-04-29T00:30:29Z
kZaucITWv00,@alisbolanos4386,"Que desverguenza del ine, colores subliminales",1,2024-04-28T19:13:43Z
kZaucITWv00,@GERARD15861,"PARALISIS FACIAL  La Parálisis de Bell es una patología neuromuscular caracterizada por la parálisis periférica del nervio facial. Afecta tanto a la parte motora, como sensitiva de la cara, es decir, quien la padece tiene problemas para mover la cara y de sensibilidad. La afectación puede ser parcial, completa o unilateralmente y manifestarse en cualquiera de los lados de la cara.",0,2024-04-28T16:46:53Z
kZaucITWv00,@Paulmacorti,"La candidata Xóchitl dice que le apuesta a la tecnología para no caer en la corrupción, pero se le olvida que las personas vulnerable y de escasos recursos no cuentan con la tecnología que Xóchitl menciona, ya que aparte de tener una Smartphone hay que invertir en el internet para checar la dichosa tarjeta",0,2024-04-28T14:15:40Z
kZaucITWv00,@astep205,"Oigan la música del final se oye bien, pasenla, no? por fa",0,2024-04-28T05:22:59Z
kZaucITWv00,@Steve_cubico,Maynes presidente maynes 🗣️,1,2024-04-27T04:09:12Z
kZaucITWv00,@JuanMorales-oh5dr,PARA ESTIS INUTILES HASER UN DEBATE ES COMO IR A LA LUNA. EL DINERO QUE SE LES DA ES UN DESPERDICIO PORQUE SON UNOS INEPTOS E INPARCIALES,1,2024-04-27T00:33:33Z
kZaucITWv00,@TeresacarmelaEstevesmares,Y para el próximo debate de les el mismo tiempo o los compro el pian😂😂😂😂😂😂😂🐀🐀🐀🐀🐀🐀🐀,0,2024-04-26T17:07:43Z
kZaucITWv00,@TeresacarmelaEstevesmares,Botarga corrupta das risa 😅😅😅😅😅😅😅😅😅😅😅😅😅,0,2024-04-26T17:05:54Z
kZaucITWv00,@Mexaxhingon,I. N. E. Trampozo corrupto. Coludido con la maña. Presidenta del i. N. E. Debería resignarse no respeta las leyes exigimos su renuncia ya basta de corruptos hipócritas vende patria,0,2024-04-26T13:20:28Z
